date,party,score_vader,month
2017-10-04,R,0.288409606481,10
2017-10-05,D,0.13962860781,10
2017-10-05,R,0.246067852605,10
2017-10-06,D,0.201658319468,10
2017-10-06,R,0.34078957346,10
2017-10-07,D,0.28082527881,10
2017-10-07,R,0.229239316239,10
2017-10-08,D,0.176950854701,10
2017-10-08,R,0.231028767123,10
2017-10-09,D,0.0878461538462,10
2017-10-09,R,0.272952777778,10
2017-10-10,D,0.116168939394,10
2017-10-10,R,0.277531362007,10
2017-10-11,D,0.143702652684,10
2017-10-11,R,0.308042477876,10
2017-10-12,D,0.0903629285299,10
2017-10-12,R,0.314725877193,10
2017-10-13,D,0.089473454782,10
2017-10-13,R,0.384327384615,10
2017-10-14,D,0.20258759542,10
2017-10-14,R,0.322028104575,10
2017-10-15,D,0.0566203804348,10
2017-10-15,R,0.28714673913,10
2017-10-16,D,0.231558823529,10
2017-10-16,R,0.42448125,10
