,name,party,chamber,text,score_pattern,score_vader
54,Tammy Baldwin,D,senate,I'm disappointed that Senate Republicans are not listening to the voices of families and doctors in our rural communities. #ProtectOurCare,-0.375,-0.4767
55,Bradley Byrne,R,house,Proud to partner with @RepAdams and other members of the #HBCU Caucus to encourage CEOs to partner w/ our HBCUs.,0.3375,0.7506
56,Pete Sessions,R,house,Great night playing with our Capitol Police tonight. We didn’t get the W but it was still a great game. http://pbs.twimg.com/media/DL5mJ0vVwAAmvWc.jpg,0.4,0.8625
57,Sean Duffy,R,house,"RT @AmericaNewsroom ""He could've ended the program yesterday. Instead he gave a six month window for Congress to do it's job..."" - @RepSeanDuffy",0.0,0.0
58,Tom Reed,R,house,RT @GabrielleMediak . @RepTomReed standing with law enforcement and officials from #Steuben and #Chemung County in the fight against heroin epidemic. http://pbs.twimg.com/media/DIA6-5WUIAAuwdF.jpg,0.0,-0.7003
59,Ami Bera,D,house,Voting Rights Act became law 52 yrs ago today. Let’s continue struggle to protect and strengthen voting rights for every American. http://pbs.twimg.com/media/DGl2dlDW0AACdFC.jpg,0.0,0.3818
60,Martin Heinrich,D,senate,"I'm still fighting Senate Republicans' #HealthCare Plan. 
Voted NO on #RepealAndRun &amp; YES to protect #Medicaid.
Keep the pressure on!",0.0,-0.2244
61,Richard Hudson,R,house,RT @DavidWhisenant The closing of Innes St. Drug in Salisbury has reverberated all the way to Capitol Hill and @RepRichHudson and @DrinkCheerwine http://pbs.twimg.com/media/DGPWG_mXsAAKx2a.jpg http://pbs.twimg.com/media/DGPWlPVXcAAW3cR.jpg,0.0,0.0
62,Kamala Harris,D,senate,This is another attempt to sabotage the Affordable Care Act and roll back consumer protections. http://www.latimes.com/politics/la-na-pol-trump-obamacare-order-20171012-story.html,0.0,-0.0516
63,Bill Flores,R,house,RT @VP .@POTUS Donald Trump and the American people are counting on the Senate to act and rescue Americans from the Obamacare nightmare. https://twitter.com/WhiteHouse/status/890229482665070592,0.0,0.5106
64,Keith Ellison,D,house,RT @Pleasant_11 @keithellison and Richfield City Council member Maria Gonzalez Regan! #FourthOfJuly #July4th #July4 http://pbs.twimg.com/media/DD8G-YsUwAENqpO.jpg,0.0,0.0
