,date,party,polarity
139,2017-09-03,R,0.14184711561158317
140,2017-09-04,D,0.1486098351180337
141,2017-09-04,R,0.2697523046173926
142,2017-09-05,D,0.04249325489031709
143,2017-09-05,R,0.14106291618676942
144,2017-09-06,D,0.11876037984492499
145,2017-09-06,R,0.14742168710918693
146,2017-09-07,D,0.12930513075265707
147,2017-09-07,R,0.16631669294276613
148,2017-09-08,D,0.14239564821383305
149,2017-09-08,R,0.13426340121636682
150,2017-09-09,D,0.17665110727261557
151,2017-09-09,R,0.1554592987522573
152,2017-09-10,D,0.20209874706810976
153,2017-09-10,R,0.10960337508192057
154,2017-09-11,D,0.13071703789832928
155,2017-09-11,R,0.10158226668278635
156,2017-09-12,D,0.14353992479906794
157,2017-09-12,R,0.1730558653781756
158,2017-09-13,D,0.14119416213906255
